"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","overlap","Indicator_Code","Description"
"86","house of assembly bicameral-IPU-Number.of.women.parliamentarians","IPU","House of Assembly Bicameral","Number.of.women.parliamentarians","House of Assembly Bicameral","90-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.793,"Checks and Balances","Legislative System","Other","House of Assembly Bicameral","",NA,"","","","","",NA,"","","","","","",""
"87","house of assembly bicameral-IPU-Percentage.of.women","IPU","House of Assembly Bicameral","Percentage.of.women","House of Assembly Bicameral","167-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.793,"Checks and Balances","Legislative System","Other","House of Assembly Bicameral","",NA,"","","","","",NA,"","","","","","",""
"88","house of assembly unicameral-IPU-Number.of.seats","IPU","House of Assembly Unicameral","Number.of.seats","House of Assembly Unicameral","31-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.151,"Checks and Balances","Legislative System","Other","House of Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"89","house of assembly unicameral-IPU-Number.of.women.parliamentarians","IPU","House of Assembly Unicameral","Number.of.women.parliamentarians","House of Assembly Unicameral","108-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.151,"Checks and Balances","Legislative System","Other","House of Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"90","house of assembly unicameral-IPU-Percentage.of.women","IPU","House of Assembly Unicameral","Percentage.of.women","House of Assembly Unicameral","185-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.151,"Checks and Balances","Legislative System","Other","House of Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"91","house of commons bicameral-IPU-Number.of.seats","IPU","House of Commons Bicameral","Number.of.seats","House of Commons Bicameral","22-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.294,"Checks and Balances","Legislative System","Other","House of Commons Bicameral","",NA,"","","","","",NA,"","","","","","",""
"92","house of commons bicameral-IPU-Number.of.women.parliamentarians","IPU","House of Commons Bicameral","Number.of.women.parliamentarians","House of Commons Bicameral","99-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.294,"Checks and Balances","Legislative System","Other","House of Commons Bicameral","",NA,"","","","","",NA,"","","","","","",""
"93","house of commons bicameral-IPU-Percentage.of.women","IPU","House of Commons Bicameral","Percentage.of.women","House of Commons Bicameral","176-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.294,"Checks and Balances","Legislative System","Other","House of Commons Bicameral","",NA,"","","","","",NA,"","","","","","",""
"94","house of councillors bicameral-IPU-Number.of.seats","IPU","House of Councillors Bicameral","Number.of.seats","House of Councillors Bicameral","44-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.003,"Checks and Balances","Legislative System","Other","House of Councillors Bicameral","",NA,"","","","","",NA,"","","","","","",""
"95","house of councillors bicameral-IPU-Number.of.women.parliamentarians","IPU","House of Councillors Bicameral","Number.of.women.parliamentarians","House of Councillors Bicameral","121-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.003,"Checks and Balances","Legislative System","Other","House of Councillors Bicameral","",NA,"","","","","",NA,"","","","","","",""
"96","house of councillors bicameral-IPU-Percentage.of.women","IPU","House of Councillors Bicameral","Percentage.of.women","House of Councillors Bicameral","198-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.003,"Checks and Balances","Legislative System","Other","House of Councillors Bicameral","",NA,"","","","","",NA,"","","","","","",""
"97","house of delegates bicameral-IPU-Number.of.seats","IPU","House of Delegates Bicameral","Number.of.seats","House of Delegates Bicameral","57-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.803,"Checks and Balances","Legislative System","Other","House of Delegates Bicameral","",NA,"","","","","",NA,"","","","","","",""
"98","house of delegates bicameral-IPU-Number.of.women.parliamentarians","IPU","House of Delegates Bicameral","Number.of.women.parliamentarians","House of Delegates Bicameral","134-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.803,"Checks and Balances","Legislative System","Other","House of Delegates Bicameral","",NA,"","","","","",NA,"","","","","","",""
"99","house of delegates bicameral-IPU-Percentage.of.women","IPU","House of Delegates Bicameral","Percentage.of.women","House of Delegates Bicameral","211-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.803,"Checks and Balances","Legislative System","Other","House of Delegates Bicameral","",NA,"","","","","",NA,"","","","","","",""
"100","house of elders bicameral-IPU-Number.of.seats","IPU","House of Elders Bicameral","Number.of.seats","House of Elders Bicameral","2-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.331,"Checks and Balances","Legislative System","Other","House of Elders Bicameral","",NA,"","","","","",NA,"","","","","","",""
"101","house of elders bicameral-IPU-Number.of.women.parliamentarians","IPU","House of Elders Bicameral","Number.of.women.parliamentarians","House of Elders Bicameral","79-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.331,"Checks and Balances","Legislative System","Other","House of Elders Bicameral","",NA,"","","","","",NA,"","","","","","",""
"102","house of elders bicameral-IPU-Percentage.of.women","IPU","House of Elders Bicameral","Percentage.of.women","House of Elders Bicameral","156-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.331,"Checks and Balances","Legislative System","Other","House of Elders Bicameral","",NA,"","","","","",NA,"","","","","","",""
"103","house of lords bicameral-IPU-Number.of.seats","IPU","House of Lords Bicameral","Number.of.seats","House of Lords Bicameral","76-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.235,"Checks and Balances","Legislative System","Other","House of Lords Bicameral","",NA,"","","","","",NA,"","","","","","",""
"104","house of lords bicameral-IPU-Number.of.women.parliamentarians","IPU","House of Lords Bicameral","Number.of.women.parliamentarians","House of Lords Bicameral","153-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.235,"Checks and Balances","Legislative System","Other","House of Lords Bicameral","",NA,"","","","","",NA,"","","","","","",""
"105","house of lords bicameral-IPU-Percentage.of.women","IPU","House of Lords Bicameral","Percentage.of.women","House of Lords Bicameral","230-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.235,"Checks and Balances","Legislative System","Other","House of Lords Bicameral","",NA,"","","","","",NA,"","","","","","",""
"106","house of nationalities bicameral-IPU-Number.of.seats","IPU","House of Nationalities Bicameral","Number.of.seats","House of Nationalities Bicameral","54-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.517,"Checks and Balances","Legislative System","Other","House of Nationalities Bicameral","",NA,"","","","","",NA,"","","","","","",""
"107","house of nationalities bicameral-IPU-Number.of.women.parliamentarians","IPU","House of Nationalities Bicameral","Number.of.women.parliamentarians","House of Nationalities Bicameral","131-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.517,"Checks and Balances","Legislative System","Other","House of Nationalities Bicameral","",NA,"","","","","",NA,"","","","","","",""
"108","house of nationalities bicameral-IPU-Percentage.of.women","IPU","House of Nationalities Bicameral","Percentage.of.women","House of Nationalities Bicameral","208-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.517,"Checks and Balances","Legislative System","Other","House of Nationalities Bicameral","",NA,"","","","","",NA,"","","","","","",""
"109","house of peoples bicameral-IPU-Number.of.seats","IPU","House of Peoples Bicameral","Number.of.seats","House of Peoples Bicameral","19-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.091,"Checks and Balances","Legislative System","Other","House of Peoples Bicameral","",NA,"","","","","",NA,"","","","","","",""
"110","house of peoples bicameral-IPU-Number.of.women.parliamentarians","IPU","House of Peoples Bicameral","Number.of.women.parliamentarians","House of Peoples Bicameral","96-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.091,"Checks and Balances","Legislative System","Other","House of Peoples Bicameral","",NA,"","","","","",NA,"","","","","","",""
"111","house of peoples bicameral-IPU-Percentage.of.women","IPU","House of Peoples Bicameral","Percentage.of.women","House of Peoples Bicameral","173-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.091,"Checks and Balances","Legislative System","Other","House of Peoples Bicameral","",NA,"","","","","",NA,"","","","","","",""
"112","house of peoples representatives bicameral-IPU-Number.of.seats","IPU","House of Peoples' Representatives Bicameral","Number.of.seats","House of Peoples' Representatives Bicameral","33-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.618,"Checks and Balances","Legislative System","Other","House of Peoples Representatives Bicameral","",NA,"","","","","",NA,"","","","","","",""
"113","house of peoples representatives bicameral-IPU-Number.of.women.parliamentarians","IPU","House of Peoples' Representatives Bicameral","Number.of.women.parliamentarians","House of Peoples' Representatives Bicameral","110-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.618,"Checks and Balances","Legislative System","Other","House of Peoples Representatives Bicameral","",NA,"","","","","",NA,"","","","","","",""
"114","house of peoples representatives bicameral-IPU-Percentage.of.women","IPU","House of Peoples' Representatives Bicameral","Percentage.of.women","House of Peoples' Representatives Bicameral","187-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.618,"Checks and Balances","Legislative System","Other","House of Peoples Representatives Bicameral","",NA,"","","","","",NA,"","","","","","",""
"115","house of representatives bicameral-IPU-Number.of.seats","IPU","House of Representatives Bicameral","Number.of.seats","House of Representatives Bicameral","8-IPU-Number.of.seats","Number of seats","Number of seats","Value",5.228,"Checks and Balances","Legislative System","Other","House of Representatives Bicameral","",NA,"","","","","",NA,"","","","","","",""
"116","house of representatives bicameral-IPU-Number.of.women.parliamentarians","IPU","House of Representatives Bicameral","Number.of.women.parliamentarians","House of Representatives Bicameral","85-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",5.228,"Checks and Balances","Legislative System","Other","House of Representatives Bicameral","",NA,"","","","","",NA,"","","","","","",""
"117","house of representatives bicameral-IPU-Percentage.of.women","IPU","House of Representatives Bicameral","Percentage.of.women","House of Representatives Bicameral","162-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",5.228,"Checks and Balances","Legislative System","Other","House of Representatives Bicameral","",NA,"","","","","",NA,"","","","","","",""
"118","house of representatives unicameral-IPU-Number.of.seats","IPU","House of Representatives Unicameral","Number.of.seats","House of Representatives Unicameral","28-IPU-Number.of.seats","Number of seats","Number of seats","Value",5.343,"Checks and Balances","Legislative System","Other","House of Representatives Unicameral","",NA,"","","","","",NA,"","","","","","",""
"119","house of representatives unicameral-IPU-Number.of.women.parliamentarians","IPU","House of Representatives Unicameral","Number.of.women.parliamentarians","House of Representatives Unicameral","105-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",5.343,"Checks and Balances","Legislative System","Other","House of Representatives Unicameral","",NA,"","","","","",NA,"","","","","","",""
"120","house of representatives unicameral-IPU-Percentage.of.women","IPU","House of Representatives Unicameral","Percentage.of.women","House of Representatives Unicameral","182-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",5.343,"Checks and Balances","Legislative System","Other","House of Representatives Unicameral","",NA,"","","","","",NA,"","","","","","",""
"121","house of the federation bicameral-IPU-Number.of.seats","IPU","House of the Federation Bicameral","Number.of.seats","House of the Federation Bicameral","34-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.207,"Checks and Balances","Legislative System","Other","House of the Federation Bicameral","",NA,"","","","","",NA,"","","","","","",""
"122","house of the federation bicameral-IPU-Number.of.women.parliamentarians","IPU","House of the Federation Bicameral","Number.of.women.parliamentarians","House of the Federation Bicameral","111-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.207,"Checks and Balances","Legislative System","Other","House of the Federation Bicameral","",NA,"","","","","",NA,"","","","","","",""
"123","house of the federation bicameral-IPU-Percentage.of.women","IPU","House of the Federation Bicameral","Percentage.of.women","House of the Federation Bicameral","188-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.207,"Checks and Balances","Legislative System","Other","House of the Federation Bicameral","",NA,"","","","","",NA,"","","","","","",""
"124","house of the people bicameral-IPU-Number.of.seats","IPU","House of the People Bicameral","Number.of.seats","House of the People Bicameral","1-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.749,"Checks and Balances","Legislative System","Other","House of the People Bicameral","",NA,"","","","","",NA,"","","","","","",""
"125","house of the people bicameral-IPU-Number.of.women.parliamentarians","IPU","House of the People Bicameral","Number.of.women.parliamentarians","House of the People Bicameral","78-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.749,"Checks and Balances","Legislative System","Other","House of the People Bicameral","",NA,"","","","","",NA,"","","","","","",""
"126","house of the people bicameral-IPU-Percentage.of.women","IPU","House of the People Bicameral","Percentage.of.women","House of the People Bicameral","155-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.749,"Checks and Balances","Legislative System","Other","House of the People Bicameral","",NA,"","","","","",NA,"","","","","","",""
"127","islamic parliament of iran unicameral-IPU-Number.of.seats","IPU","Islamic Parliament of Iran Unicameral","Number.of.seats","Islamic Parliament of Iran Unicameral","42-IPU-Number.of.seats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"128","islamic parliament of iran unicameral-IPU-Number.of.women.parliamentarians","IPU","Islamic Parliament of Iran Unicameral","Number.of.women.parliamentarians","Islamic Parliament of Iran Unicameral","119-IPU-Number.of.women.parliamentarians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"129","islamic parliament of iran unicameral-IPU-Percentage.of.women","IPU","Islamic Parliament of Iran Unicameral","Percentage.of.women","Islamic Parliament of Iran Unicameral","196-IPU-Percentage.of.women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"130","legislative assembly unicameral-IPU-Number.of.seats","IPU","Legislative Assembly Unicameral","Number.of.seats","Legislative Assembly Unicameral","25-IPU-Number.of.seats","Number of seats","Number of seats","Value",5.185,"Checks and Balances","Legislative System","Other","Legislative Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"131","legislative assembly unicameral-IPU-Number.of.women.parliamentarians","IPU","Legislative Assembly Unicameral","Number.of.women.parliamentarians","Legislative Assembly Unicameral","102-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",5.185,"Checks and Balances","Legislative System","Other","Legislative Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"132","legislative assembly unicameral-IPU-Percentage.of.women","IPU","Legislative Assembly Unicameral","Percentage.of.women","Legislative Assembly Unicameral","179-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",5.185,"Checks and Balances","Legislative System","Other","Legislative Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"133","legislative chamber bicameral-IPU-Number.of.seats","IPU","Legislative Chamber Bicameral","Number.of.seats","Legislative Chamber Bicameral","77-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.42,"Checks and Balances","Legislative System","Other","Legislative Chamber Bicameral","",NA,"","","","","",NA,"","","","","","",""
"134","legislative chamber bicameral-IPU-Number.of.women.parliamentarians","IPU","Legislative Chamber Bicameral","Number.of.women.parliamentarians","Legislative Chamber Bicameral","154-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.42,"Checks and Balances","Legislative System","Other","Legislative Chamber Bicameral","",NA,"","","","","",NA,"","","","","","",""
"135","legislative chamber bicameral-IPU-Percentage.of.women","IPU","Legislative Chamber Bicameral","Percentage.of.women","Legislative Chamber Bicameral","231-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.42,"Checks and Balances","Legislative System","Other","Legislative Chamber Bicameral","",NA,"","","","","",NA,"","","","","","",""
"136","legislative council unicameral-IPU-Number.of.seats","IPU","Legislative Council Unicameral","Number.of.seats","Legislative Council Unicameral","21-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.426,"Checks and Balances","Legislative System","Other","Legislative Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"137","legislative council unicameral-IPU-Number.of.women.parliamentarians","IPU","Legislative Council Unicameral","Number.of.women.parliamentarians","Legislative Council Unicameral","98-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.426,"Checks and Balances","Legislative System","Other","Legislative Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"138","legislative council unicameral-IPU-Percentage.of.women","IPU","Legislative Council Unicameral","Percentage.of.women","Legislative Council Unicameral","175-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.426,"Checks and Balances","Legislative System","Other","Legislative Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"139","national assembly bicameral-IPU-Number.of.seats","IPU","National Assembly Bicameral","Number.of.seats","National Assembly Bicameral","17-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.222,"Checks and Balances","Legislative System","Other","National Assembly Bicameral","",NA,"","","","","",NA,"","","","","","",""
"140","national assembly bicameral-IPU-Number.of.women.parliamentarians","IPU","National Assembly Bicameral","Number.of.women.parliamentarians","National Assembly Bicameral","94-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.222,"Checks and Balances","Legislative System","Other","National Assembly Bicameral","",NA,"","","","","",NA,"","","","","","",""
"141","national assembly bicameral-IPU-Percentage.of.women","IPU","National Assembly Bicameral","Percentage.of.women","National Assembly Bicameral","171-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.222,"Checks and Balances","Legislative System","Other","National Assembly Bicameral","",NA,"","","","","",NA,"","","","","","",""
"142","national assembly of the peoples power unicameral-IPU-Number.of.seats","IPU","National Assembly of the People's Power Unicameral","Number.of.seats","National Assembly of the People's Power Unicameral","27-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.759,"Checks and Balances","Legislative System","Other","National Assembly of the Peoples Power Unicameral","",NA,"","","","","",NA,"","","","","","",""
"143","national assembly of the peoples power unicameral-IPU-Number.of.women.parliamentarians","IPU","National Assembly of the People's Power Unicameral","Number.of.women.parliamentarians","National Assembly of the People's Power Unicameral","104-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.759,"Checks and Balances","Legislative System","Other","National Assembly of the Peoples Power Unicameral","",NA,"","","","","",NA,"","","","","","",""
"144","national assembly of the peoples power unicameral-IPU-Percentage.of.women","IPU","National Assembly of the People's Power Unicameral","Percentage.of.women","National Assembly of the People's Power Unicameral","181-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.759,"Checks and Balances","Legislative System","Other","National Assembly of the Peoples Power Unicameral","",NA,"","","","","",NA,"","","","","","",""
"145","national assembly unicameral-IPU-Number.of.seats","IPU","National Assembly Unicameral","Number.of.seats","National Assembly Unicameral","7-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.381,"Checks and Balances","Legislative System","Other","National Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"146","national assembly unicameral-IPU-Number.of.women.parliamentarians","IPU","National Assembly Unicameral","Number.of.women.parliamentarians","National Assembly Unicameral","84-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.381,"Checks and Balances","Legislative System","Other","National Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"147","national assembly unicameral-IPU-Percentage.of.women","IPU","National Assembly Unicameral","Percentage.of.women","National Assembly Unicameral","161-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.381,"Checks and Balances","Legislative System","Other","National Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"148","national congress unicameral-IPU-Number.of.seats","IPU","National Congress Unicameral","Number.of.seats","National Congress Unicameral","40-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.107,"Checks and Balances","Legislative System","Other","National Congress Unicameral","",NA,"","","","","",NA,"","","","","","",""
"149","national congress unicameral-IPU-Number.of.women.parliamentarians","IPU","National Congress Unicameral","Number.of.women.parliamentarians","National Congress Unicameral","117-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.107,"Checks and Balances","Legislative System","Other","National Congress Unicameral","",NA,"","","","","",NA,"","","","","","",""
"150","national congress unicameral-IPU-Percentage.of.women","IPU","National Congress Unicameral","Percentage.of.women","National Congress Unicameral","194-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.107,"Checks and Balances","Legislative System","Other","National Congress Unicameral","",NA,"","","","","",NA,"","","","","","",""
"151","national council bicameral-IPU-Number.of.seats","IPU","National Council Bicameral","Number.of.seats","National Council Bicameral","11-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.019,"Checks and Balances","Legislative System","Other","National Council Bicameral","",NA,"","","","","",NA,"","","","","","",""
"152","national council bicameral-IPU-Number.of.women.parliamentarians","IPU","National Council Bicameral","Number.of.women.parliamentarians","National Council Bicameral","88-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.019,"Checks and Balances","Legislative System","Other","National Council Bicameral","",NA,"","","","","",NA,"","","","","","",""
"153","national council bicameral-IPU-Percentage.of.women","IPU","National Council Bicameral","Percentage.of.women","National Council Bicameral","165-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.019,"Checks and Balances","Legislative System","Other","National Council Bicameral","",NA,"","","","","",NA,"","","","","","",""
"154","national council of provinces bicameral-IPU-Number.of.seats","IPU","National Council of Provinces Bicameral","Number.of.seats","National Council of Provinces Bicameral","66-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.028,"Checks and Balances","Legislative System","Other","National Council of Provinces Bicameral","",NA,"","","","","",NA,"","","","","","",""
"155","national council of provinces bicameral-IPU-Number.of.women.parliamentarians","IPU","National Council of Provinces Bicameral","Number.of.women.parliamentarians","National Council of Provinces Bicameral","143-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.028,"Checks and Balances","Legislative System","Other","National Council of Provinces Bicameral","",NA,"","","","","",NA,"","","","","","",""
"156","national council of provinces bicameral-IPU-Percentage.of.women","IPU","National Council of Provinces Bicameral","Percentage.of.women","National Council of Provinces Bicameral","220-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.028,"Checks and Balances","Legislative System","Other","National Council of Provinces Bicameral","",NA,"","","","","",NA,"","","","","","",""
"157","national council unicameral-IPU-Number.of.seats","IPU","National Council Unicameral","Number.of.seats","National Council Unicameral","51-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.695,"Checks and Balances","Legislative System","Other","National Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"158","national council unicameral-IPU-Number.of.women.parliamentarians","IPU","National Council Unicameral","Number.of.women.parliamentarians","National Council Unicameral","128-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.695,"Checks and Balances","Legislative System","Other","National Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"159","national council unicameral-IPU-Percentage.of.women","IPU","National Council Unicameral","Percentage.of.women","National Council Unicameral","205-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.695,"Checks and Balances","Legislative System","Other","National Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"160","national legislative assembly unicameral-IPU-Number.of.seats","IPU","National Legislative Assembly Unicameral","Number.of.seats","National Legislative Assembly Unicameral","70-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.308,"Checks and Balances","Legislative System","Other","National Legislative Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"161","national legislative assembly unicameral-IPU-Number.of.women.parliamentarians","IPU","National Legislative Assembly Unicameral","Number.of.women.parliamentarians","National Legislative Assembly Unicameral","147-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.308,"Checks and Balances","Legislative System","Other","National Legislative Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"162","national legislative assembly unicameral-IPU-Percentage.of.women","IPU","National Legislative Assembly Unicameral","Percentage.of.women","National Legislative Assembly Unicameral","224-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.308,"Checks and Balances","Legislative System","Other","National Legislative Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"163","national parliament unicameral-IPU-Number.of.seats","IPU","National Parliament Unicameral","Number.of.seats","National Parliament Unicameral","58-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.817,"Checks and Balances","Legislative System","Other","National Parliament Unicameral","",NA,"","","","","",NA,"","","","","","",""
"164","national parliament unicameral-IPU-Number.of.women.parliamentarians","IPU","National Parliament Unicameral","Number.of.women.parliamentarians","National Parliament Unicameral","135-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.817,"Checks and Balances","Legislative System","Other","National Parliament Unicameral","",NA,"","","","","",NA,"","","","","","",""
"165","national parliament unicameral-IPU-Percentage.of.women","IPU","National Parliament Unicameral","Percentage.of.women","National Parliament Unicameral","212-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.817,"Checks and Balances","Legislative System","Other","National Parliament Unicameral","",NA,"","","","","",NA,"","","","","","",""
"166","national peoples assembly bicameral-IPU-Number.of.seats","IPU","National People's Assembly Bicameral","Number.of.seats","National People's Assembly Bicameral","4-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.999,"Checks and Balances","Legislative System","Other","National Peoples Assembly Bicameral","",NA,"","","","","",NA,"","","","","","",""
"167","national peoples assembly bicameral-IPU-Number.of.women.parliamentarians","IPU","National People's Assembly Bicameral","Number.of.women.parliamentarians","National People's Assembly Bicameral","81-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.999,"Checks and Balances","Legislative System","Other","National Peoples Assembly Bicameral","",NA,"","","","","",NA,"","","","","","",""
"168","national peoples assembly bicameral-IPU-Percentage.of.women","IPU","National People's Assembly Bicameral","Percentage.of.women","National People's Assembly Bicameral","158-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.999,"Checks and Balances","Legislative System","Other","National Peoples Assembly Bicameral","",NA,"","","","","",NA,"","","","","","",""
"169","national peoples congress unicameral-IPU-Number.of.seats","IPU","National People's Congress Unicameral","Number.of.seats","National People's Congress Unicameral","23-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.889,"Checks and Balances","Legislative System","Other","National Peoples Congress Unicameral","",NA,"","","","","",NA,"","","","","","",""
"170","national peoples congress unicameral-IPU-Number.of.women.parliamentarians","IPU","National People's Congress Unicameral","Number.of.women.parliamentarians","National People's Congress Unicameral","100-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.889,"Checks and Balances","Legislative System","Other","National Peoples Congress Unicameral","",NA,"","","","","",NA,"","","","","","",""
"171","national peoples congress unicameral-IPU-Percentage.of.women","IPU","National People's Congress Unicameral","Percentage.of.women","National People's Congress Unicameral","177-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.889,"Checks and Balances","Legislative System","Other","National Peoples Congress Unicameral","",NA,"","","","","",NA,"","","","","","",""
"172","parliament of the co-operative republic of guyana unicameral-IPU-Number.of.seats","IPU","Parliament of the Co-operative Republic of Guyana Unicameral","Number.of.seats","Parliament of the Co-operative Republic of Guyana Unicameral","39-IPU-Number.of.seats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
