"","Indicator","Indicator_Id","Indicator_Name","Display_Name","Dataset","answer","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"97","the government does not expropriate without lawful process and adequate compensation-WJP-Total","69-WJP-Total","6.5","The government does not expropriate without lawful process and adequate compensation","WJP","Total","Total","Total","Value",4.36,"Public Sector Management","Enforcement","Other","The government does not expropriate without lawful process and adequate compensation (65)","",NA,"","","","","",NA,"","","","","WJP48","WJP48","","",""
"98","the laws are publicized and accessible-WJP-Total","26-WJP-Total","5.1","The laws are publicized and accessible","WJP","Total","Total","Total","Value",2.09,"Citizen Engagement","Open Government and Transparency","Other","The laws are publicized and accessible (51)","",NA,"","","","","",NA,"","","","","WJP37","WJP37","","",""
"99","the laws are publicized and accessible-WJP-Total","26-WJP-Total","5.1","The laws are publicized and accessible","WJP","Total","Total","Total","Value",3.08,"Security","Crime","Other","The laws are publicized and accessible (31)","",NA,"","","","","",NA,"","","","","WJP19","WJP19","","",""
"100","the laws are publicized and accessible-WJP-Total","73-WJP-Total","3.1","The laws are publicized and accessible","WJP","Total","Total","Total","Value",2.09,"Citizen Engagement","Open Government and Transparency","Other","The laws are publicized and accessible (51)","",NA,"","","","","",NA,"","","","","WJP37","WJP37","","",""
"101","the laws are publicized and accessible-WJP-Total","73-WJP-Total","3.1","The laws are publicized and accessible","WJP","Total","Total","Total","Value",3.08,"Security","Crime","Other","The laws are publicized and accessible (31)","",NA,"","","","","",NA,"","","","","WJP19","WJP19","","",""
"102","the laws are stable-WJP-Total","25-WJP-Total","5.2","The laws are stable","WJP","Total","Total","Total","Value",4.025,"Security","Crime","Other","The laws are stable (32)","",NA,"","","","","",NA,"","","","","WJP22","WJP22","","",""
"103","the laws are stable-WJP-Total","25-WJP-Total","5.2","The laws are stable","WJP","Total","Total","Total","Value",4.064,"Security","Violent conflict","Other","The laws are stable (52)","",NA,"","","","","",NA,"","","","","WJP39","WJP39","","",""
"104","the laws are stable-WJP-Total","74-WJP-Total","3.2","The laws are stable","WJP","Total","Total","Total","Value",4.025,"Security","Crime","Other","The laws are stable (32)","",NA,"","","","","",NA,"","","","","WJP22","WJP22","","",""
"105","the laws are stable-WJP-Total","74-WJP-Total","3.2","The laws are stable","WJP","Total","Total","Total","Value",4.064,"Security","Violent conflict","Other","The laws are stable (52)","",NA,"","","","","",NA,"","","","","WJP39","WJP39","","",""
"106","the right to life and security of the person is effectively guaranteed-WJP-Total","34-WJP-Total","4.2","The right to life and security of the person is effectively guaranteed","WJP","Total","Total","Total","Value",4.184,"Citizen Engagement","Civil Rights","Other","The right to life and security of the person is effectively guaranteed (42)","",NA,"","","","","",NA,"","","","","WJP29","WJP29","","",""
"107","transition of power is subject to the law-WJP-Total","46-WJP-Total","1.7","Transition of power is subject to the law","WJP","Total","Total","Total","Value",4.124,"Political Accountability","Public Accountability Mechanisns","Other","Transition of power is subject to the law (17)","",NA,"","","","","",NA,"","","","","WJP12","WJP12","","",""
"108","transition of power is subject to the law-WJP-Total","46-WJP-Total","1.7","Transition of power is subject to the law","WJP","Total","Total","Total","Value",4.215,"Political Accountability","Public Accountability Mechanisns","Other","Transition of power is subject to the law (16)","",NA,"","","","","",NA,"","","","","WJP11","WJP11","","",""
"109","transition of power is subject to the law-WJP-Total","59-WJP-Total","1.6","Transition of power is subject to the law","WJP","Total","Total","Total","Value",4.124,"Political Accountability","Public Accountability Mechanisns","Other","Transition of power is subject to the law (17)","",NA,"","","","","",NA,"","","","","WJP12","WJP12","","",""
"110","transition of power is subject to the law-WJP-Total","59-WJP-Total","1.6","Transition of power is subject to the law","WJP","Total","Total","Total","Value",4.215,"Political Accountability","Public Accountability Mechanisns","Other","Transition of power is subject to the law (16)","",NA,"","","","","",NA,"","","","","WJP11","WJP11","","",""
